Date,1305.T,1306.T,1308.T,1309.T,1311.T,1319.T,1320.T,1321.T,1322.T,1324.T,1325.T,1326.T,1328.T,1329.T,1330.T,1343.T,1345.T,1346.T,1348.T,1349.T,1385.T,1386.T,1387.T,1388.T,1389.T,1390.T,1393.T,1394.T,1540.T,1541.T,1542.T,1543.T,1545.T,1546.T,1547.T,1550.T,1551.T,1552.T,1554.T,1555.T,1557.T,1559.T,1560.T,1563.T,1615.T,1617.T,1618.T,1619.T,1620.T,1621.T,1622.T,1623.T,1624.T,1625.T,1626.T,1627.T,1628.T,1629.T,1630.T,1631.T,1632.T,1633.T,1671.T,1672.T,1673.T,1674.T,1675.T,1676.T,1677.T,1678.T,1679.T,1680.T,1681.T,1682.T,1684.T,1685.T,1686.T,1687.T,1688.T,1689.T,1690.T,1691.T,1692.T,1693.T,1694.T,1695.T,1696.T,1697.T,1698.T,1699.T
2012-01-04,756.0,753.0,744.0,15270.0,385.0,133.0,8630.0,8660.0,2433.0,111.0,215.0,11920.0,3675.0,8630.0,8700.0,883.0,847.0,8710.0,757.0,9630.0,23.670000076293945,43.72999954223633,75.1500015258789,42.650001525878906,55.060001373291016,38.81999969482422,122.6500015258789,121.5500030517578,3950.0,3500.0,7090.0,16200.0,1788.0,9500.0,1043.0,905.0,1181.0,2072000.0,848.0,873.0,9780.0,1716.0,3695.0,910.0,105.0,13300.0,11350.0,10520.0,9540.0,9730.0,10010.0,14060.0,14890.0,7900.0,7840.0,5950.0,8600.0,16660.0,8800.0,6310.0,5110.0,13000.0,5260.0,12040.0,2199.0,10850.0,5060.0,124.21112060546876,39450.0,68.0,9240.0,938.0,891.0,207.0,1076.0,10.80270004272461,15.732009887695312,622.0,440.0,14.0,2100.0,44.4315185546875,4.68474006652832,2950.0,21.502689361572266,131.0,150.0,1450.0,858.0,872.0
2012-01-05,751.0,748.0,738.0,15270.0,383.0,134.0,8590.0,8630.0,2420.0,112.0,215.0,12100.0,3730.0,8550.0,8640.0,882.0,843.0,8680.0,753.0,9640.0,23.329999923706055,43.349998474121094,74.1500015258789,42.189998626708984,54.630001068115234,38.2599983215332,123.0500030517578,120.87000274658205,4020.0,3505.0,7180.0,16120.0,1796.0,9520.0,1041.0,905.0,1175.0,2020000.0,843.0,866.0,9780.0,1713.0,3700.0,940.0,105.0,13240.0,11260.0,10480.0,9480.0,9700.0,10050.0,14030.0,14840.0,7810.0,7760.0,5850.0,8570.0,16690.0,8780.0,6260.0,5040.0,12890.0,5300.0,12190.0,2200.0,10920.0,63.02756118774414,123.13996887207033,39050.0,68.0,9230.0,940.0,896.0,205.0,14.960659980773926,10.600250244140623,15.590829849243164,7.779280185699463,431.0,14.0,27.412260055541992,43.68476867675781,4.61814022064209,2852.0,21.36713981628418,129.0,153.0,18.489919662475582,850.0,878.0
2012-01-06,744.0,740.0,729.0,15250.0,379.0,133.0,8510.0,8510.0,2420.0,110.0,214.0,12200.0,3715.0,8450.0,8530.0,887.0,848.0,8590.0,745.0,9650.0,23.149999618530273,43.380001068115234,73.83999633789062,42.20000076293945,54.869998931884766,37.900001525878906,122.79000091552734,120.3499984741211,4030.0,3495.0,7150.0,15850.0,1810.0,9530.0,1041.0,901.0,1163.0,2030000.0,843.0,873.0,9820.0,1704.0,3710.0,916.0,104.0,13090.0,11130.0,10400.0,9270.0,9550.0,9880.0,13600.0,14600.0,7730.0,7700.0,5820.0,8440.0,16400.0,8730.0,6150.0,4960.0,12740.0,5270.0,12310.0,2200.0,137.7793426513672,61.75640869140625,124.08566284179688,39250.0,68.0,9250.0,937.0,887.0,206.0,14.979410171508787,820.0,15.715510368347168,614.0,436.0,14.0,27.352399826049805,43.941131591796875,4.692450046539307,2840.0,21.45693016052246,127.0,151.0,18.298259735107425,839.0,872.0
2012-01-10,746.0,743.0,732.0,15910.0,381.0,130.0,8530.0,8540.0,2489.0,112.0,215.0,12110.0,3700.0,8480.0,8570.0,891.0,849.0,8610.0,747.0,9600.0,23.65999984741211,43.95000076293945,75.2699966430664,42.40999984741211,55.33000183105469,38.58000183105469,124.19000244140624,121.97000122070312,3990.0,3500.0,7140.0,15400.0,1820.0,9560.0,1048.0,902.0,1162.0,1910000.0,846.0,876.0,9850.0,1722.0,3725.0,898.0,104.0,13230.0,11100.0,10520.0,9270.0,9610.0,9980.0,13600.0,14550.0,7730.0,7700.0,6030.0,8460.0,16470.0,8820.0,6240.0,5020.0,12760.0,5250.0,12220.0,2179.0,10900.0,62.827911376953125,125.94782257080078,39000.0,68.0,9310.0,937.0,894.0,206.0,921.0,823.0,16.255510330200195,613.0,444.0,14.0,2150.0,44.17721939086914,4.905839920043945,37.904178619384766,22.30792999267578,126.0,153.0,1450.0,841.0,870.0
2012-01-11,746.0,743.0,733.0,15910.0,381.0,129.0,8530.0,8550.0,2495.0,112.0,220.0,12250.0,3740.0,8520.0,8590.0,884.0,848.0,8630.0,749.0,9670.0,23.579999923706055,43.77000045776367,75.11000061035156,42.59000015258789,55.08000183105469,38.7400016784668,124.26000213623048,121.63999938964844,4035.0,3610.0,7220.0,15670.0,1820.0,9550.0,1051.0,905.0,1158.0,1888000.0,847.0,871.0,9900.0,1730.0,3720.0,880.0,105.0,13330.0,11180.0,10550.0,9310.0,9510.0,9900.0,13640.0,14660.0,7720.0,7620.0,5930.0,8460.0,16520.0,8810.0,6250.0,5090.0,12800.0,5240.0,12350.0,2242.0,145.4891357421875,62.33852005004883,126.15493774414062,39000.0,69.0,9280.0,938.0,904.0,212.0,15.061929702758787,795.0,16.316749572753906,609.0,443.0,13.0,2067.0,44.031028747558594,4.905310153961182,2900.0,22.2403507232666,126.0,150.0,1420.0,847.0,868.0
2012-01-12,741.0,738.0,726.0,15920.0,378.0,134.0,8480.0,8500.0,2510.0,112.0,221.0,12300.0,3750.0,8460.0,8530.0,878.0,843.0,8490.0,735.0,9630.0,23.63999938964844,43.63999938964844,75.33999633789062,43.099998474121094,55.0,38.790000915527344,124.56999969482422,121.9499969482422,4045.0,3660.0,7250.0,15780.0,1827.0,9560.0,1053.0,904.0,1142.0,1908000.0,851.0,875.0,9900.0,1728.0,3720.0,878.0,104.0,13340.0,11150.0,10550.0,9240.0,9380.0,9830.0,13430.0,14640.0,7670.0,7520.0,5940.0,8390.0,16520.0,8720.0,6180.0,5010.0,12640.0,5240.0,12420.0,2258.0,11460.0,4780.0,128.32159423828125,38950.0,69.0,9270.0,942.0,906.0,214.0,14.899920463562012,10.223609924316406,16.565570831298828,600.0,440.0,12.0,2119.0,43.50175857543945,4.899640083312988,2950.0,22.493099212646484,126.0,150.0,1450.0,837.0,863.0
2012-01-13,750.0,747.0,736.0,15730.0,383.0,134.0,8610.0,8630.0,2497.0,113.0,223.0,12300.0,3755.0,8570.0,8640.0,875.0,841.0,8610.0,742.0,9630.0,23.559999465942383,43.58000183105469,75.05000305175781,43.0099983215332,54.75,38.91999816894531,123.95999908447266,121.30999755859376,4045.0,3625.0,7240.0,15580.0,1839.0,9580.0,1060.0,909.0,1150.0,1862000.0,852.0,875.0,9960.0,1726.0,3745.0,890.0,104.0,13340.0,11350.0,10590.0,9360.0,9450.0,10040.0,13770.0,14950.0,7750.0,7600.0,5960.0,8420.0,16630.0,8780.0,6190.0,5060.0,12720.0,5160.0,12380.0,2247.0,144.50816345214844,4800.0,125.67919158935548,39000.0,69.0,9320.0,945.0,911.0,213.0,14.783289909362791,794.0,16.48118019104004,590.0,418.0,11.0,2110.0,43.54349899291992,4.8568902015686035,2970.0,1700.0,122.0,141.0,1403.0,841.0,854.0
2012-01-16,740.0,738.0,725.0,15640.0,376.0,130.0,8480.0,8490.0,2465.0,113.0,219.0,12250.0,3740.0,8430.0,8530.0,870.0,832.0,8500.0,733.0,9690.0,23.809999465942383,43.93000030517578,75.80000305175781,43.2599983215332,54.95000076293945,38.630001068115234,123.95999908447266,121.45999908447266,4025.0,3635.0,7150.0,15560.0,1821.0,9540.0,1056.0,904.0,1135.0,1934000.0,849.0,874.0,9930.0,1698.0,3685.0,877.0,103.0,13280.0,11110.0,10550.0,9200.0,9350.0,9900.0,13580.0,14740.0,7610.0,7540.0,5870.0,8350.0,16400.0,8690.0,6100.0,4920.0,12440.0,5100.0,12360.0,2224.0,146.06558227539062,62.52975082397461,126.60581970214844,38800.0,68.0,9230.0,938.0,901.0,212.0,14.78289031982422,10.165949821472168,16.480730056762695,578.0,418.0,11.0,1960.0,43.54233169555664,4.856760025024414,2920.0,22.41069984436035,120.0,137.0,1350.0,839.0,841.0
2012-01-17,744.0,742.0,731.0,16140.0,379.0,128.0,8560.0,8600.0,2492.0,113.0,222.0,12370.0,3765.0,8520.0,8600.0,862.0,825.0,8570.0,739.0,9680.0,24.170000076293945,44.290000915527344,76.83999633789062,43.650001525878906,55.29999923706055,39.4900016784668,124.4000015258789,122.37999725341795,4060.0,3700.0,7320.0,15770.0,1841.0,9600.0,1062.0,912.0,1130.0,1878000.0,853.0,889.0,9970.0,1705.0,3705.0,866.0,104.0,13400.0,11180.0,10830.0,9240.0,9370.0,10040.0,13730.0,14830.0,7650.0,7500.0,5920.0,8380.0,16570.0,8690.0,6140.0,4970.0,12750.0,5140.0,12460.0,2269.0,11440.0,64.09213256835938,128.37744140625,38800.0,71.0,9300.0,948.0,924.0,216.0,14.881509780883787,10.05290985107422,16.88058090209961,7.619569778442383,418.0,12.0,27.10131072998047,44.1752815246582,5.0401201248168945,40.23260116577149,22.312889099121097,122.0,137.0,18.09507942199707,839.0,854.0
2012-01-18,749.0,747.0,734.0,16080.0,381.0,132.0,8650.0,8660.0,2485.0,113.0,227.0,12340.0,3765.0,8620.0,8690.0,865.0,832.0,8670.0,743.0,9710.0,24.11000061035156,44.31999969482422,76.77999877929688,44.0,55.40999984741211,39.4900016784668,125.80999755859376,123.45999908447266,4065.0,3700.0,7300.0,15860.0,1845.0,9570.0,1058.0,913.0,1125.0,1880000.0,856.0,890.0,9960.0,1725.0,3745.0,879.0,103.0,13340.0,11570.0,10800.0,9400.0,9370.0,10010.0,13990.0,15350.0,7770.0,7470.0,6010.0,8370.0,16800.0,8690.0,6170.0,5030.0,12930.0,5180.0,12450.0,2266.0,11370.0,63.1142692565918,127.36595153808594,38950.0,71.0,9260.0,949.0,930.0,217.0,14.845450401306152,760.0,16.860559463500977,578.0,416.0,11.0,27.069610595703125,44.959991455078125,4.986330032348633,3160.0,22.279109954833984,120.0,141.0,18.093650817871097,840.0,862.0
